,Authors’ disciplines,Journal’s discipline
0,computer science,computer science
1,social sciences,computer science
2,geo-information,geo-information
3,engineering,engineering
4,interdisciplinary,geo-information
5,informatics,geo-information
6,geo-information,geo-information
7,informatics,geo-information
8,informatics,computer science
9,computer science,geo-information
10,social sciences,geo-information
11,informatics,geo-information
12,computer science,informatics
13,informatics,informatics
14,social sciences,informatics
15,geo-information,informatics
16,interdisciplinary,informatics
17,geo-information,geo-information
18,engineering,geo-information
19,geo-information,geo-information
20,interdisciplinary,geo-information
21,geo-information,geo-information
22,informatics,computer science
23,engineering,computer science
24,geo-information,informatics
25,informatics,social sciences
26,geo-information,informatics
27,computer science,informatics
28,geo-information,geo-information
29,computer science,geo-information
30,engineering,geo-information
31,social sciences,geo-information
32,geo-information,geo-information
33,geo-information,geo-information
34,social sciences,geo-information
35,geo-information,geo-information
36,geo-information,geo-information
37,geo-information,geo-information
38,social sciences,social sciences
39,social sciences,computer science
40,computer science,informatics
41,interdisciplinary,social sciences
42,social sciences,social sciences
43,engineering,geo-information
44,geo-information,geo-information
45,engineering,geo-information
46,engineering,geo-information
47,computer science,geo-information
48,geo-information,geo-information
49,geo-information,geo-information
50,social sciences,social sciences
51,geo-information,interdisciplinary
52,computer science,geo-information
53,engineering,social sciences
54,exact sciences,geo-information
55,engineering,computer science
56,exact sciences,exact sciences
57,engineering,geo-information
58,exact sciences,geo-information
59,geo-information,computer science
60,computer science,computer science
61,engineering,geo-information
62,computer science,geo-information
63,computer science,geo-information
64,engineering,geo-information
65,engineering,geo-information
66,computer science,geo-information
67,geo-information,geo-information
68,engineering,geo-information
69,computer science,geo-information
70,informatics,interdisciplinary
71,geo-information,interdisciplinary
72,social sciences,interdisciplinary
73,geo-information,informatics
74,interdisciplinary,informatics
75,engineering,geo-information
76,geo-information,geo-information
77,geo-information,geo-information
78,informatics,geo-information
79,social sciences,interdisciplinary
80,geo-information,interdisciplinary
81,computer science,computer science
82,exact sciences,interdisciplinary
83,informatics,interdisciplinary
84,social sciences,interdisciplinary
85,geo-information,geo-information
86,exact sciences,geo-information
87,exact sciences,geo-information
88,engineering,geo-information
89,geo-information,geo-information
90,computer science,geo-information
91,engineering,geo-information
92,exact sciences,geo-information
93,informatics,geo-information
94,geo-information,geo-information
95,computer science,geo-information
96,geo-information,geo-information
97,engineering,geo-information
98,exact sciences,geo-information
99,social sciences,geo-information
100,geo-information,geo-information
101,computer science,geo-information
102,geo-information,geo-information
103,computer science,geo-information
104,social sciences,geo-information
105,social sciences,geo-information
106,computer science,geo-information
107,computer science,interdisciplinary
108,geo-information,geo-information
109,exact sciences,geo-information
110,social sciences,social sciences
111,engineering,geo-information
112,geo-information,geo-information
113,computer science,interdisciplinary
114,social sciences,interdisciplinary
115,geo-information,interdisciplinary
116,geo-information,geo-information
117,geo-information,geo-information
118,engineering,geo-information
119,social sciences,interdisciplinary
120,geo-information,interdisciplinary
121,computer science,interdisciplinary
122,exact sciences,social sciences
123,geo-information,geo-information
124,geo-information,geo-information
125,geo-information,geo-information
126,engineering,interdisciplinary
127,computer science,computer science
128,engineering,informatics
129,social sciences,geo-information
130,geo-information,geo-information
131,social sciences,geo-information
132,computer science,interdisciplinary
133,social sciences,social sciences
134,engineering,geo-information
135,social sciences,social sciences
136,exact sciences,exact sciences
137,social sciences,social sciences
138,exact sciences,geo-information
139,geo-information,geo-information
140,geo-information,geo-information
141,engineering,geo-information
142,geo-information,geo-information
143,exact sciences,geo-information
144,geo-information,geo-information
145,geo-information,informatics
146,geo-information,informatics
147,computer science,informatics
148,geo-information,interdisciplinary
149,informatics,interdisciplinary
150,geo-information,geo-information
151,geo-information,geo-information
152,geo-information,geo-information
153,social sciences,geo-information
