,Authors’ disciplines,Topics
0,computer science,application
1,social sciences,application
2,geo-information,contribution behaviors
3,engineering,data quality
4,interdisciplinary,data quality
5,interdisciplinary,data enrichment
6,interdisciplinary,development
7,informatics,data quality
8,geo-information,data quality
9,informatics,data quality
10,informatics,development
11,informatics,review
12,computer science,analyzing contributions
13,social sciences,analyzing contributions
14,informatics,analyzing contributions
15,computer science,development
16,informatics,development
17,social sciences,data quality
18,geo-information,data quality
19,interdisciplinary,data quality
20,geo-information,analyzing contributions
21,engineering,analyzing contributions
22,geo-information,data quality
23,interdisciplinary,data quality
24,geo-information,data quality
25,informatics,application
26,engineering,application
27,geo-information,application
28,informatics,application
29,geo-information,data enrichment
30,geo-information,development
31,computer science,data enrichment
32,computer science,development
33,geo-information,data quality
34,geo-information,development
35,computer science,data quality
36,computer science,development
37,engineering,data quality
38,engineering,development
39,social sciences,contribution behaviors
40,social sciences,analyzing contributions
41,geo-information,contribution behaviors
42,geo-information,analyzing contributions
43,geo-information,contribution behaviors
44,social sciences,contribution behaviors
45,geo-information,contribution behaviors
46,geo-information,contribution behaviors
47,geo-information,development
48,social sciences,analyzing contributions
49,social sciences,contributors
50,social sciences,development
51,computer science,application
52,interdisciplinary,data quality
53,social sciences,data quality
54,engineering,data quality
55,geo-information,data quality
56,engineering,data quality
57,engineering,data quality
58,computer science,data quality
59,geo-information,data quality
60,geo-information,application
61,social sciences,contribution behaviors
62,social sciences,analyzing contributions
63,social sciences,contributors
64,geo-information,application
65,computer science,data enrichment
66,engineering,data enrichment
67,engineering,application
68,exact sciences,application
69,engineering,application
70,engineering,data enrichment
71,engineering,development
72,exact sciences,data quality
73,engineering,data quality
74,exact sciences,data quality
75,geo-information,contributors
76,computer science,contributors
77,engineering,analyzing contributions
78,computer science,analyzing contributions
79,computer science,analyzing contributions
80,engineering,analyzing contributions
81,engineering,contribution behaviors
82,computer science,contribution behaviors
83,geo-information,data quality
84,engineering,application
85,computer science,application
86,informatics,application
87,geo-information,application
88,social sciences,application
89,geo-information,development
90,interdisciplinary,development
91,engineering,data quality
92,geo-information,data quality
93,geo-information,data quality
94,informatics,data quality
95,social sciences,data quality
96,geo-information,data quality
97,computer science,application
98,exact sciences,application
99,informatics,application
100,social sciences,application
101,geo-information,data quality
102,geo-information,application
103,exact sciences,data quality
104,exact sciences,application
105,exact sciences,application
106,engineering,application
107,geo-information,application
108,computer science,application
109,engineering,application
110,engineering,development
111,exact sciences,application
112,exact sciences,development
113,informatics,application
114,informatics,development
115,geo-information,application
116,geo-information,development
117,computer science,application
118,geo-information,application
119,engineering,application
120,exact sciences,application
121,social sciences,application
122,geo-information,contribution behaviors
123,computer science,contribution behaviors
124,geo-information,contribution behaviors
125,computer science,contribution behaviors
126,social sciences,contribution behaviors
127,social sciences,contributors
128,computer science,contributors
129,computer science,application
130,geo-information,development
131,exact sciences,application
132,social sciences,development
133,engineering,data quality
134,engineering,contribution behaviors
135,geo-information,data quality
136,geo-information,contribution behaviors
137,computer science,contribution behaviors
138,social sciences,contribution behaviors
139,geo-information,shaping contributions
140,geo-information,data quality
141,geo-information,application
142,geo-information,application
143,engineering,application
144,social sciences,development
145,geo-information,data quality
146,computer science,development
147,exact sciences,application
148,geo-information,contribution behaviors
149,geo-information,analyzing contributions
150,geo-information,contributors
151,geo-information,analyzing contributions
152,geo-information,contribution behaviors
153,engineering,application
154,computer science,review
155,computer science,data quality
156,engineering,application
157,social sciences,application
