,Geographic Correspondence,Perspective on the community
0,partial/partial,data produced by contributors
1,no,contributors producing data
2,full,OSM as a data source
3,full,a diverse community
4,partial/full,contributors producing data
5,full,OSM as a data source
6,no,OSM as a data source
7,no,a diverse community
8,no,contributors producing data
9,no,contributors producing data
10,NA,a social product
11,no,data produced by contributors
12,partial/full,a unified community
13,partial/partial,data produced by contributors
14,no,contributors producing data
15,NA,OSM as a data source
16,NA,data produced by contributors
17,partial/full,contributors producing data
18,NA,contributors producing data
19,no,contributors producing data
20,no,a unified community
21,NA,contributors producing data
22,full,data produced by contributors
23,no,a social product
24,NA,OSM as a data source
25,full,OSM as a data source
26,full,data produced by contributors
27,no,data produced by contributors
28,full,data produced by contributors
29,partial/full,a social product
30,full,data produced by contributors
31,full,OSM as a data source
32,no,a social product
33,no,contributors producing data
34,no,OSM as a data source
35,full,OSM as a data source
36,full,OSM as a data source
37,partial/partial,OSM as a data source
38,full,OSM as a data source
39,full,a diverse community
40,full,a social product
41,no,a diverse community
42,partial/partial,contributors producing data
43,partial/partial,contributors producing data
44,full,OSM as a data source
45,no,data produced by contributors
46,full,data produced by contributors
47,no,a collaborative project based on contributors
48,full,OSM as a data source
49,full,OSM as a data source
50,full,data produced by contributors
51,partial/full,data produced by contributors
52,full,OSM as a data source
53,partial/full,OSM as a data source
54,no,data produced by contributors
55,partial/partial,a collaborative project based on contributors
56,no,a collaborative project based on contributors
57,no,data produced by contributors
58,no,data produced by contributors
59,no,a social product
60,NA,a collaborative project based on contributors
61,no,contributors producing data
62,full,OSM as a data source
63,full,OSM as a data source
64,partial/partial,OSM as a data source
65,NA,data produced by contributors
66,full,contributors producing data
67,full,data produced by contributors
68,no,a unified community
69,no,OSM as a data source
70,partial/full,OSM as a data source
71,NA,OSM as a data source
72,no,data produced by contributors
73,partial/partial,OSM as a data source
74,no,data produced by contributors
75,full,a social product
76,no,data produced by contributors
77,no,a social product
78,full,OSM as a data source
79,NA,a collaborative project based on contributors
80,full,OSM as a data source
81,no,OSM as a data source
82,no,OSM as a data source
83,no,a social product
84,NA,data produced by contributors
85,partial/full,OSM as a data source
86,no,a social product
87,partial/full,OSM as a data source
88,full,OSM as a data source
89,partial/full,data produced by contributors
90,full,data produced by contributors
91,full,OSM as a data source
92,full,data produced by contributors
93,full,data produced by contributors
94,partial/full,a collaborative project based on contributors
95,partial/full,OSM as a data source
96,partial/partial,contributors producing data
97,NA,a social product
98,no,a social product
99,NA,a collaborative project based on contributors
100,no,data produced by contributors
101,NA,a social product
102,partial/full,contributors producing data
103,full,data produced by contributors
104,NA,a collaborative project based on contributors
105,partial/full,data produced by contributors
106,partial/partial,OSM as a data source
107,partial/full,contributors producing data
108,full,data produced by contributors
109,partial/full,OSM as a data source
110,no,OSM as a data source
111,no,a social product
112,no,contributors producing data
113,no,OSM as a data source
114,no,a social product
115,no,contributors producing data
116,partial/partial,a social product
117,partial/partial,contributors producing data
118,full,a social product
119,NA,a social product
120,no,data produced by contributors
121,no,OSM as a data source
122,NA,contributors producing data
123,no,OSM as a data source
124,full,OSM as a data source
125,full,OSM as a data source
126,partial/full,data produced by contributors
127,full,data produced by contributors
128,full,OSM as a data source
129,NA,a diverse community
130,NA,data produced by contributors
131,full,OSM as a data source
132,full,contributors producing data
133,full,contributors producing data
134,partial/partial,OSM as a data source
135,no,OSM as a data source
136,full,OSM as a data source
137,full,data produced by contributors
138,full,data produced by contributors
139,full,OSM as a data source
140,full,OSM as a data source
141,full,OSM as a data source
142,full,data produced by contributors
143,full,a unified community
144,full,contributors producing data
145,no,OSM as a data source
146,no,data produced by contributors
147,full,OSM as a data source
148,full,data produced by contributors
149,no,OSM as a data source
150,partial/full,OSM as a data source
151,full,data produced by contributors
152,no,OSM as a data source
153,NA,contributors producing data
154,full,OSM as a data source
155,full,OSM as a data source
156,partial/partial,a unified community
157,partial/partial,a diverse community
158,no,OSM as a data source
159,partial/full,OSM as a data source
160,full,OSM as a data source
161,full,a social product
162,partial/full,OSM as a data source
163,partial/full,data produced by contributors
164,no,OSM as a data source
165,no,OSM as a data source
166,partial/partial,data produced by contributors
167,partial/partial,data produced by contributors
168,NA,data produced by contributors
169,partial/partial,data produced by contributors
170,full,data produced by contributors
171,no,data produced by contributors
172,partial/full,data produced by contributors
173,no,contributors producing data
174,partial/full,data produced by contributors
175,full,OSM as a data source
176,no,OSM as a data source
177,partial/partial,data produced by contributors
178,no,OSM as a data source
179,no,contributors producing data
180,partial/partial,contributors producing data
181,full,OSM as a data source
182,partial/partial,OSM as a data source
183,full,data produced by contributors
184,partial/partial,OSM as a data source
185,partial/partial,OSM as a data source
186,no,OSM as a data source
187,no,a collaborative project based on contributors
188,partial/partial,data produced by contributors
189,full,data produced by contributors
190,partial/partial,data produced by contributors
191,full,data produced by contributors
192,NA,a diverse community
193,partial/full,data produced by contributors
194,full,OSM as a data source
195,no,OSM as a data source
196,NA,a social product
197,partial/partial,OSM as a data source
198,partial/partial,OSM as a data source
199,partial/full,data produced by contributors
