,Topics,Evidence of engagement
0,application,none
1,contribution behaviors,object of study - indirect
2,data quality,none
3,data quality,contribution
4,data enrichment,contribution
5,development,contribution
6,data quality,object of study - indirect
7,data quality,none
8,development,acknowledgement
9,review,acknowledgement
10,analyzing contributions,acknowledgement
11,analyzing contributions,object of study - indirect
12,development,meaningful development
13,development,contribution
14,data quality,none
15,analyzing contributions,contribution
16,data quality,none
17,data quality,none
18,application,none
19,application,none
20,application,none
21,data enrichment,none
22,development,none
23,data quality,none
24,development,none
25,contribution behaviors,occasional development
26,contribution behaviors,object of study - indirect
27,analyzing contributions,occasional development
28,analyzing contributions,object of study - indirect
29,contribution behaviors,contribution
30,contribution behaviors,occasional development
31,contribution behaviors,object of study - indirect
32,contribution behaviors,none
33,development,meaningful development
34,analyzing contributions,object of study - direct
35,contributors,object of study - direct
36,development,none
37,application,none
38,data quality,none
39,data quality,meaningful development
40,data quality,contribution
41,data quality,occasional development
42,data quality,none
43,data quality,none
44,application,none
45,contribution behaviors,object of study - direct
46,contribution behaviors,object of study - indirect
47,analyzing contributions,object of study - direct
48,analyzing contributions,object of study - indirect
49,contributors,object of study - direct
50,contributors,object of study - indirect
51,application,none
52,data enrichment,none
53,data enrichment,none
54,application,none
55,application,none
56,application,none
57,data enrichment,none
58,development,none
59,data quality,none
60,data quality,acknowledgement
61,contributors,object of study - indirect
62,analyzing contributions,meaningful development
63,analyzing contributions,meaningful development
64,analyzing contributions,object of study - indirect
65,contribution behaviors,meaningful development
66,data quality,none
67,application,none
68,application,participation
69,development,occasional development
70,data quality,object of study - indirect
71,data quality,none
72,data quality,none
73,data quality,occasional development
74,application,none
75,application,none
76,data quality,none
77,application,none
78,application,none
79,application,none
80,development,none
81,application,none
82,application,acknowledgement
83,contribution behaviors,object of study - direct
84,contribution behaviors,object of study - indirect
85,contribution behaviors,acknowledgement
86,contribution behaviors,object of study - direct
87,contribution behaviors,acknowledgement
88,contribution behaviors,contribution
89,contributors,object of study - direct
90,contributors,object of study - indirect
91,application,acknowledgement
92,development,none
93,application,none
94,development,contribution
95,development,acknowledgement
96,data quality,object of study - indirect
97,contribution behaviors,object of study - indirect
98,contribution behaviors,occasional development
99,shaping contributions,acknowledgement
100,shaping contributions,meaningful development
101,shaping contributions,contribution
102,data quality,none
103,application,none
104,application,none
105,development,none
106,data quality,acknowledgement
107,development,none
108,application,none
109,contribution behaviors,acknowledgement
110,contribution behaviors,meaningful development
111,contribution behaviors,object of study - indirect
112,contribution behaviors,participation
113,analyzing contributions,acknowledgement
114,analyzing contributions,meaningful development
115,analyzing contributions,object of study - indirect
116,analyzing contributions,participation
117,contributors,acknowledgement
118,contributors,meaningful development
119,contributors,object of study - indirect
120,contributors,participation
121,analyzing contributions,acknowledgement
122,contribution behaviors,object of study - indirect
123,application,none
124,review,occasional development
125,data quality,occasional development
126,application,none
127,application,none
128,application,none
129,contribution behaviors,none
130,contributors,none
131,development,acknowledgement
132,development,occasional development
133,application,none
134,contributors,object of study - direct
135,application,none
136,application,none
137,application,none
138,application,none
139,application,acknowledgement
140,data enrichment,occasional development
141,data enrichment,occasional development
142,data enrichment,meaningful development
143,application,occasional development
144,data quality,meaningful development
145,data quality,object of study - direct
146,review,none
147,OSM effects,none
148,development,occasional development
149,development,acknowledgement
150,development,object of study - indirect
151,analyzing contributions,occasional development
152,analyzing contributions,acknowledgement
153,analyzing contributions,object of study - indirect
154,analyzing contributions,object of study - indirect
155,application,none
156,review,acknowledgement
157,review,occasional development
158,data quality,meaningful development
159,data quality,object of study - indirect
160,contribution behaviors,meaningful development
161,contribution behaviors,object of study - indirect
162,analyzing contributions,meaningful development
163,analyzing contributions,object of study - indirect
164,shaping contributions,occasional development
165,data enrichment,none
166,data quality,none
167,application,none
168,data quality,meaningful development
169,contribution behaviors,meaningful development
170,analyzing contributions,meaningful development
171,development,meaningful development
172,application,object of study - direct
173,application,none
174,application,none
175,contributors,occasional development
176,contributors,object of study - direct
177,contributors,object of study - indirect
178,analyzing contributions,occasional development
179,analyzing contributions,object of study - direct
180,analyzing contributions,object of study - indirect
181,analyzing contributions,acknowledgement
182,analyzing contributions,object of study - indirect
183,analyzing contributions,participation
184,contributors,acknowledgement
185,contributors,object of study - indirect
186,contributors,participation
187,application,none
188,analyzing contributions,acknowledgement
189,analyzing contributions,object of study - indirect
190,analyzing contributions,occasional development
191,contribution behaviors,object of study - indirect
192,contribution behaviors,object of study - indirect
193,contributors,object of study - indirect
194,contribution behaviors,meaningful development
195,contribution behaviors,object of study - indirect
196,development,meaningful development
197,development,object of study - indirect
198,shaping contributions,object of study - direct
199,analyzing contributions,contribution
200,analyzing contributions,acknowledgement
201,application,none
202,review,none
203,data quality,none
204,application,none
205,shaping contributions,meaningful development
206,shaping contributions,contribution
207,development,meaningful development
208,development,contribution
209,application,occasional development
210,application,none
211,application,none
212,development,none
213,application,none
214,data quality,none
215,development,none
216,data quality,occasional development
217,review,occasional development
218,shaping contributions,none
219,analyzing contributions,none
220,application,none
221,OSM effects,object of study - direct
222,shaping contributions,contribution
223,data quality,none
224,application,none
225,application,none
226,OSM effects,none
227,contribution behaviors,none
228,application,occasional development
229,application,none
230,analyzing contributions,none
231,analyzing contributions,none
232,application,none
233,contributors,object of study - indirect
234,analyzing contributions,object of study - indirect
235,data quality,object of study - indirect
236,contribution behaviors,object of study - indirect
237,analyzing contributions,object of study - indirect
238,application,none
239,data enrichment,none
240,application,none
241,application,none
242,application,none
243,application,none
244,application,none
245,application,none
246,data quality,contribution
247,data enrichment,contribution
248,application,none
249,data quality,acknowledgement
250,contributors,object of study - indirect
251,analyzing contributions,object of study - indirect
