,Topics,Perspective on the community
0,application,data produced by contributors
1,contribution behaviors,contributors producing data
2,data quality,OSM as a data source
3,data quality,a diverse community
4,data enrichment,a diverse community
5,development,a diverse community
6,data quality,contributors producing data
7,data quality,OSM as a data source
8,development,OSM as a data source
9,review,OSM as a data source
10,analyzing contributions,a diverse community
11,development,contributors producing data
12,data quality,contributors producing data
13,analyzing contributions,a social product
14,data quality,data produced by contributors
15,data quality,a unified community
16,application,data produced by contributors
17,application,contributors producing data
18,application,OSM as a data source
19,data enrichment,data produced by contributors
20,development,data produced by contributors
21,data quality,contributors producing data
22,development,contributors producing data
23,contribution behaviors,contributors producing data
24,analyzing contributions,contributors producing data
25,contribution behaviors,contributors producing data
26,contribution behaviors,a unified community
27,contribution behaviors,contributors producing data
28,development,data produced by contributors
29,analyzing contributions,a social product
30,contributors,a social product
31,development,OSM as a data source
32,application,OSM as a data source
33,data quality,data produced by contributors
34,data quality,data produced by contributors
35,data quality,data produced by contributors
36,data quality,a social product
37,data quality,data produced by contributors
38,application,OSM as a data source
39,contribution behaviors,a social product
40,analyzing contributions,a social product
41,contributors,a social product
42,application,contributors producing data
43,data enrichment,OSM as a data source
44,data enrichment,OSM as a data source
45,application,OSM as a data source
46,application,OSM as a data source
47,application,OSM as a data source
48,data enrichment,OSM as a data source
49,development,OSM as a data source
50,data quality,OSM as a data source
51,data quality,a diverse community
52,contributors,a social product
53,analyzing contributions,a diverse community
54,analyzing contributions,contributors producing data
55,contribution behaviors,contributors producing data
56,data quality,OSM as a data source
57,application,data produced by contributors
58,application,data produced by contributors
59,development,a collaborative project based on contributors
60,data quality,OSM as a data source
61,data quality,OSM as a data source
62,data quality,data produced by contributors
63,data quality,data produced by contributors
64,application,OSM as a data source
65,application,OSM as a data source
66,data quality,data produced by contributors
67,application,data produced by contributors
68,application,a collaborative project based on contributors
69,application,a collaborative project based on contributors
70,development,a collaborative project based on contributors
71,application,data produced by contributors
72,application,data produced by contributors
73,contribution behaviors,a social product
74,contribution behaviors,a collaborative project based on contributors
75,contributors,contributors producing data
76,application,OSM as a data source
77,development,OSM as a data source
78,application,OSM as a data source
79,development,data produced by contributors
80,data quality,contributors producing data
81,contribution behaviors,contributors producing data
82,contribution behaviors,data produced by contributors
83,shaping contributions,a unified community
84,data quality,OSM as a data source
85,application,OSM as a data source
86,application,OSM as a data source
87,development,OSM as a data source
88,data quality,data produced by contributors
89,development,OSM as a data source
90,application,data produced by contributors
91,contribution behaviors,a social product
92,analyzing contributions,a social product
93,contributors,a social product
94,analyzing contributions,data produced by contributors
95,contribution behaviors,a social product
96,application,OSM as a data source
97,review,a collaborative project based on contributors
98,data quality,a collaborative project based on contributors
99,application,OSM as a data source
100,application,OSM as a data source
101,application,OSM as a data source
102,contribution behaviors,a social product
103,contributors,a social product
104,development,data produced by contributors
105,application,OSM as a data source
106,contributors,a social product
107,application,OSM as a data source
108,application,OSM as a data source
109,application,data produced by contributors
110,application,data produced by contributors
111,application,OSM as a data source
112,data enrichment,data produced by contributors
113,data enrichment,data produced by contributors
114,data enrichment,a collaborative project based on contributors
115,application,OSM as a data source
116,data quality,contributors producing data
117,review,a social product
118,OSM effects,a social product
119,development,a social product
120,analyzing contributions,a social product
121,analyzing contributions,a collaborative project based on contributors
122,application,data produced by contributors
123,review,a social product
124,data quality,contributors producing data
125,contribution behaviors,contributors producing data
126,analyzing contributions,contributors producing data
127,shaping contributions,data produced by contributors
128,data enrichment,a collaborative project based on contributors
129,data quality,data produced by contributors
130,application,OSM as a data source
131,data quality,contributors producing data
132,contribution behaviors,contributors producing data
133,analyzing contributions,contributors producing data
134,development,contributors producing data
135,application,data produced by contributors
136,application,OSM as a data source
137,application,OSM as a data source
138,contributors,a social product
139,analyzing contributions,a social product
140,analyzing contributions,contributors producing data
141,contributors,contributors producing data
142,application,OSM as a data source
143,analyzing contributions,a social product
144,contribution behaviors,contributors producing data
145,contribution behaviors,a social product
146,contributors,a social product
147,contribution behaviors,contributors producing data
148,development,contributors producing data
149,shaping contributions,a social product
150,analyzing contributions,a social product
151,application,data produced by contributors
152,review,data produced by contributors
153,data quality,data produced by contributors
154,application,OSM as a data source
155,shaping contributions,contributors producing data
156,development,contributors producing data
157,application,OSM as a data source
158,application,OSM as a data source
159,application,OSM as a data source
160,development,OSM as a data source
161,application,data produced by contributors
162,data quality,data produced by contributors
163,development,data produced by contributors
164,data quality,OSM as a data source
165,review,a diverse community
166,shaping contributions,data produced by contributors
167,analyzing contributions,data produced by contributors
168,application,OSM as a data source
169,OSM effects,contributors producing data
170,shaping contributions,contributors producing data
171,data quality,OSM as a data source
172,application,OSM as a data source
173,application,OSM as a data source
174,OSM effects,data produced by contributors
175,contribution behaviors,data produced by contributors
176,application,data produced by contributors
177,application,OSM as a data source
178,analyzing contributions,OSM as a data source
179,analyzing contributions,OSM as a data source
180,application,data produced by contributors
181,contributors,a unified community
182,analyzing contributions,a unified community
183,data quality,a unified community
184,contribution behaviors,contributors producing data
185,analyzing contributions,contributors producing data
186,application,OSM as a data source
187,data enrichment,data produced by contributors
188,application,OSM as a data source
189,application,data produced by contributors
190,application,OSM as a data source
191,application,OSM as a data source
192,application,data produced by contributors
193,application,OSM as a data source
194,data quality,contributors producing data
195,data enrichment,contributors producing data
196,application,OSM as a data source
197,data quality,OSM as a data source
198,contributors,a unified community
199,analyzing contributions,a diverse community
200,contributors,a diverse community
201,application,OSM as a data source
202,application,OSM as a data source
203,data quality,OSM as a data source
204,data quality,a social product
205,review,a social product
206,application,OSM as a data source
207,application,data produced by contributors
208,application,OSM as a data source
209,data quality,OSM as a data source
210,data quality,data produced by contributors
211,application,data produced by contributors
212,data enrichment,data produced by contributors
213,analyzing contributions,data produced by contributors
214,shaping contributions,data produced by contributors
215,development,data produced by contributors
216,application,data produced by contributors
217,data enrichment,data produced by contributors
218,application,data produced by contributors
219,data enrichment,data produced by contributors
220,contributors,contributors producing data
221,analyzing contributions,contributors producing data
222,OSM effects,contributors producing data
223,data enrichment,data produced by contributors
224,application,OSM as a data source
225,data quality,OSM as a data source
226,application,data produced by contributors
227,application,OSM as a data source
228,shaping contributions,contributors producing data
229,contributors,contributors producing data
230,shaping contributions,contributors producing data
231,data quality,contributors producing data
232,application,OSM as a data source
233,application,OSM as a data source
234,data quality,data produced by contributors
235,application,OSM as a data source
236,application,OSM as a data source
237,application,OSM as a data source
238,review,a collaborative project based on contributors
239,data quality,data produced by contributors
240,development,data produced by contributors
241,data enrichment,data produced by contributors
242,data quality,data produced by contributors
243,application,data produced by contributors
244,application,data produced by contributors
245,contributors,a diverse community
246,contribution behaviors,a diverse community
247,data quality,data produced by contributors
248,application,OSM as a data source
249,application,OSM as a data source
250,application,a social product
251,application,OSM as a data source
252,application,OSM as a data source
253,application,data produced by contributors
254,contribution behaviors,data produced by contributors
